Angle: +38.66, BaseSpeed: +05.89, Error: +11.00, DerivativeError: -09.00, DeltaSpeed: -03.58
Angle: +45.00, BaseSpeed: +05.83, Error: -11.00, DerivativeError: -22.00, DeltaSpeed: -04.79
Angle: +40.36, BaseSpeed: +05.88, Error: +03.00, DerivativeError: +14.00, DeltaSpeed: -04.06
Angle: +22.83, BaseSpeed: +06.05, Error: +22.00, DerivativeError: +19.00, DeltaSpeed: -02.89
Angle: +36.87, BaseSpeed: +05.91, Error: +05.00, DerivativeError: -17.00, DeltaSpeed: -03.69
Angle: +43.53, BaseSpeed: +05.84, Error: -17.00, DerivativeError: -22.00, DeltaSpeed: -04.96
Angle: +33.02, BaseSpeed: +05.95, Error: +16.00, DerivativeError: +33.00, DeltaSpeed: -03.15
Angle: +27.76, BaseSpeed: +06.00, Error: +22.00, DerivativeError: +06.00, DeltaSpeed: -02.63
Angle: +38.66, BaseSpeed: +05.89, Error: -09.00, DerivativeError: -31.00, DeltaSpeed: -04.27
Angle: +36.87, BaseSpeed: +05.91, Error: -05.00, DerivativeError: +04.00, DeltaSpeed: -04.12
Angle: +28.81, BaseSpeed: +05.99, Error: +20.00, DerivativeError: +25.00, DeltaSpeed: -02.67
Angle: +30.96, BaseSpeed: +05.97, Error: +12.00, DerivativeError: -08.00, DeltaSpeed: -02.95
Angle: +36.87, BaseSpeed: +05.91, Error: -18.00, DerivativeError: -30.00, DeltaSpeed: -04.63
Angle: +30.96, BaseSpeed: +05.97, Error: +05.00, DerivativeError: +23.00, DeltaSpeed: -03.43
Angle: +20.22, BaseSpeed: +06.08, Error: +24.00, DerivativeError: +19.00, DeltaSpeed: -02.24
Angle: +28.81, BaseSpeed: +05.99, Error: +04.00, DerivativeError: -20.00, DeltaSpeed: -03.20
Angle: +36.87, BaseSpeed: +05.91, Error: -17.00, DerivativeError: -21.00, DeltaSpeed: -04.42
Angle: +24.23, BaseSpeed: +06.04, Error: +10.00, DerivativeError: +27.00, DeltaSpeed: -02.97
Angle: +17.53, BaseSpeed: +06.10, Error: +26.00, DerivativeError: +16.00, DeltaSpeed: -01.91
Angle: +26.57, BaseSpeed: +06.01, Error: +03.00, DerivativeError: -23.00, DeltaSpeed: -03.03
Angle: +33.02, BaseSpeed: +05.95, Error: -14.00, DerivativeError: -17.00, DeltaSpeed: -04.02
Angle: +24.23, BaseSpeed: +06.04, Error: +11.00, DerivativeError: +25.00, DeltaSpeed: -02.66
